GENDER,AGE_GRP,VISIT_ORDER,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,DGSTFN,VISIT_AREA_NM,X_COORD,Y_COORD
0.0,30.0,12,3.0,3.0,3.0,3.0,5.0,3.0,5.0,연과자점,126.5599976,33.25138652
1.0,40.0,6,3.0,3.0,2.0,2.0,3.0,2.0,3.0,너븐,126.5741038,33.24533339
1.0,30.0,17,5.0,2.0,5.0,4.0,5.0,1.0,5.0,카페청굴물,126.7512962,33.55799282
1.0,20.0,6,4.0,2.0,5.0,6.0,5.0,5.0,4.0,신화역사공원,126.3173221,33.29897998
0.0,30.0,8,2.0,3.0,3.0,4.0,3.0,6.0,4.0,원앤온리,126.3191925,33.23922235
1.0,20.0,18,4.0,2.0,3.0,2.0,6.0,5.0,5.0,김녕해수욕장,126.759314,33.55743886
1.0,20.0,16,6.0,1.0,6.0,4.0,6.0,7.0,5.0,미쿠니,126.5896258,33.52905784
1.0,30.0,8,5.0,2.0,1.0,3.0,6.0,3.0,4.0,터틀락,126.3635514,33.27715385
1.0,20.0,8,2.0,2.0,2.0,4.0,6.0,4.0,5.0,함덕해수욕장,126.6692389,33.54306157
0.0,30.0,10,4.0,1.0,5.0,6.0,3.0,2.0,5.0,숑,,
0.0,30.0,17,2.0,1.0,6.0,2.0,3.0,6.0,4.0,서해5도 수산물복합문화센터,126.6730999,37.57083346
0.0,30.0,5,1.0,3.0,4.0,4.0,2.0,5.0,5.0,장곶횟집,126.3775658,37.62869253
1.0,20.0,9,1.0,1.0,4.0,3.0,6.0,2.0,4.0,노형동,,
1.0,30.0,6,4.0,5.0,1.0,1.0,1.0,7.0,5.0,이중섭거리,126.5640039,33.24761378
0.0,30.0,15,2.0,1.0,2.0,4.0,6.0,5.0,4.0,513텐동 제주점,126.4399836,33.4957729
1.0,20.0,15,2.0,6.0,4.0,4.0,6.0,7.0,3.0,숙성도 중문점,126.4075053,33.25833794
0.0,20.0,32,4.0,2.0,7.0,7.0,7.0,5.0,5.0,새별오름,126.3577307,33.36627759
1.0,20.0,13,3.0,4.0,4.0,4.0,7.0,5.0,4.0,디앤디파트먼트 제주,126.5231886,33.51772313
1.0,30.0,14,5.0,2.0,3.0,4.0,2.0,5.0,5.0,꼬스뗀뇨,126.9052437,33.50986804
0.0,50.0,6,1.0,1.0,1.0,1.0,4.0,4.0,4.0,중문색달해수욕장,126.4114987,33.24503815
1.0,30.0,6,1.0,1.0,4.0,4.0,5.0,4.0,5.0,제주한림농협하나로마트,126.2638865,33.40997697
1.0,20.0,12,2.0,3.0,4.0,3.0,5.0,5.0,5.0,천제연폭포,126.4183754,33.25267658
1.0,30.0,19,4.0,4.0,3.0,4.0,4.0,2.0,5.0,자구리문화예술공원,126.5673829,33.24174695
1.0,40.0,4,4.0,2.0,4.0,4.0,1.0,7.0,4.0,산방산,126.3133696,33.2415643
1.0,30.0,14,4.0,4.0,4.0,4.0,4.0,4.0,2.0,태고암,128.25254,34.6314924
1.0,20.0,5,1.0,7.0,1.0,1.0,7.0,7.0,5.0,더럭초등학교,126.3454606,33.45362396
1.0,30.0,20,5.0,2.0,3.0,4.0,2.0,5.0,5.0,평대시간 이공이오,126.839811,33.53606431
0.0,30.0,4,3.0,1.0,7.0,5.0,2.0,7.0,4.0,자매국수 본점,126.5170077,33.51681563
1.0,20.0,28,2.0,5.0,5.0,5.0,4.0,5.0,5.0,상상 함덕점,126.6622527,33.54323024
1.0,50.0,9,1.0,4.0,1.0,1.0,1.0,6.0,5.0,별오름 노형점,126.4813535,33.47600524
1.0,20.0,23,4.0,4.0,4.0,4.0,2.0,5.0,5.0,릴로,126.8950829,33.49259414
1.0,50.0,5,4.0,4.0,4.0,4.0,4.0,4.0,3.0,가우도출렁다리,126.7799061,34.53659204
1.0,20.0,4,4.0,2.0,3.0,2.0,6.0,5.0,5.0,스캠프짐,126.4737996,33.47963206
1.0,20.0,5,4.0,4.0,4.0,4.0,2.0,5.0,5.0,초밥공장,126.7915416,33.55248806
1.0,20.0,10,4.0,2.0,5.0,4.0,4.0,7.0,4.0,애월브금,126.3137074,33.4640531
1.0,40.0,10,4.0,2.0,4.0,4.0,1.0,7.0,5.0,제주별책부록,126.5585813,33.24771998
0.0,20.0,17,2.0,1.0,6.0,2.0,7.0,5.0,5.0,에이바우트커피 함덕해수욕장점,126.6689827,33.54249648
0.0,30.0,18,5.0,1.0,4.0,2.0,2.0,5.0,5.0,산당,126.3697482,37.70347902
1.0,40.0,16,3.0,4.0,3.0,4.0,5.0,4.0,4.0,대평,126.3645024,33.23714313
1.0,30.0,8,3.0,2.0,5.0,3.0,3.0,2.0,4.0,알레올레 할머니의 차방,,
1.0,30.0,20,4.0,1.0,3.0,6.0,2.0,6.0,4.0,제주동문재래시장,126.5260174,33.51158514
1.0,30.0,13,7.0,4.0,3.0,3.0,4.0,4.0,2.0,안녕협재씨 제주협재점,126.2249788,33.38656924
1.0,20.0,4,2.0,1.0,4.0,1.0,1.0,7.0,5.0,성산일출봉,126.9405375,33.45913497
1.0,30.0,31,2.0,2.0,4.0,4.0,6.0,5.0,3.0,안덕산방도서관,126.5107108,33.50232039
1.0,30.0,7,2.0,4.0,1.0,3.0,5.0,2.0,5.0,"디아넥스 온천, 수영장",126.3928441,33.303058
1.0,20.0,12,4.0,1.0,5.0,5.0,3.0,6.0,3.0,해월정,126.9096317,33.49226299
1.0,20.0,14,1.0,1.0,4.0,1.0,7.0,6.0,5.0,문도지오름,126.2946137,33.32625021
1.0,30.0,38,3.0,4.0,5.0,6.0,2.0,5.0,5.0,스시마타네,126.3911411,33.44760687
1.0,20.0,16,2.0,2.0,5.0,2.0,2.0,3.0,4.0,그린마일커피 애월점,126.3220223,33.46407902
1.0,30.0,9,4.0,5.0,4.0,3.0,4.0,5.0,3.0,금능해수욕장,126.2358899,33.39044882
1.0,20.0,24,2.0,2.0,4.0,6.0,2.0,7.0,5.0,트레이닝 팜트리,126.2490347,33.22808216
1.0,20.0,24,2.0,1.0,4.0,2.0,5.0,5.0,3.0,카페코지,126.9292422,33.46821997
1.0,20.0,7,5.0,3.0,6.0,1.0,7.0,5.0,4.0,쉬멍해장국 중문점,126.4148984,33.25527317
1.0,30.0,9,2.0,2.0,3.0,2.0,1.0,7.0,5.0,전망좋은집흑돼지,126.9325248,33.46067082
0.0,20.0,15,2.0,2.0,1.0,1.0,4.0,6.0,5.0,보롬왓,126.7524958,33.41349708
1.0,20.0,9,5.0,2.0,4.0,3.0,6.0,5.0,5.0,카페곁에,126.7131074,33.55358978
1.0,50.0,5,2.0,1.0,2.0,2.0,2.0,2.0,3.0,서귀포매일올레시장,126.5632316,33.25015006
1.0,30.0,9,4.0,5.0,1.0,1.0,1.0,7.0,5.0,이중섭거리,126.5640039,33.24761378
1.0,20.0,22,2.0,1.0,5.0,2.0,4.0,5.0,5.0,쇠소깍모꼬지,126.6207004,33.26234474
1.0,20.0,9,2.0,1.0,4.0,2.0,2.0,4.0,5.0,황우지선녀탕,126.54889,33.23946324
1.0,20.0,4,2.0,2.0,5.0,3.0,7.0,4.0,4.0,파도식당,126.5305135,33.51130293
0.0,50.0,2,1.0,1.0,1.0,1.0,4.0,4.0,4.0,남문주유소,126.5389333,33.48878031
0.0,40.0,30,1.0,1.0,1.0,1.0,1.0,4.0,4.0,천지연폭포,126.5545223,33.24721232
1.0,20.0,12,2.0,1.0,4.0,2.0,5.0,5.0,4.0,검멀레해변,126.9669025,33.49717101
0.0,20.0,7,6.0,2.0,7.0,3.0,1.0,4.0,2.0,부어스트라덴,128.0428755,34.79749015
0.0,40.0,34,1.0,7.0,7.0,7.0,7.0,7.0,3.0,아르떼뮤지엄 제주,126.3450106,33.39670048
1.0,20.0,15,1.0,1.0,4.0,1.0,4.0,7.0,4.0,성산일출봉,126.9405375,33.45913497
1.0,40.0,4,1.0,7.0,5.0,2.0,6.0,6.0,5.0,한라수목원,126.4932661,33.46978393
0.0,30.0,5,4.0,1.0,5.0,6.0,3.0,2.0,5.0,프렌즈스크린골프 인화,126.5386136,33.5062773
0.0,40.0,3,1.0,4.0,3.0,1.0,7.0,4.0,5.0,개월이오름,126.6127004,33.42663921
1.0,30.0,52,3.0,2.0,4.0,4.0,4.0,5.0,5.0,오설록티뮤지엄,126.2894893,33.30591329
1.0,40.0,7,1.0,6.0,6.0,2.0,6.0,6.0,5.0,태하전망대,,
1.0,30.0,2,2.0,2.0,6.0,5.0,3.0,5.0,4.0,양혜란식당,126.5146317,33.24979317
1.0,20.0,21,3.0,2.0,2.0,6.0,1.0,7.0,5.0,함덕해수욕장 근처 길,,
1.0,40.0,11,4.0,1.0,1.0,7.0,7.0,7.0,5.0,설빙 제주아라점,126.5409075,33.49392672
0.0,20.0,14,2.0,2.0,2.0,1.0,1.0,7.0,5.0,함덕그때그집,126.6646963,33.5427933
0.0,40.0,16,4.0,7.0,3.0,5.0,5.0,6.0,5.0,세븐일레븐 서귀포대정주공점,126.2529031,33.22770874
