GENDER,AGE_GRP,VISIT_ORDER,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,DGSTFN,VISIT_AREA_NM
1.0,30.0,6,1.0,1.0,4.0,4.0,5.0,4.0,5.0,제주한림농협하나로마트
1.0,20.0,12,2.0,3.0,4.0,3.0,5.0,5.0,5.0,천제연폭포
1.0,30.0,19,4.0,4.0,3.0,4.0,4.0,2.0,5.0,자구리문화예술공원
1.0,40.0,4,4.0,2.0,4.0,4.0,1.0,7.0,4.0,산방산
1.0,30.0,14,4.0,4.0,4.0,4.0,4.0,4.0,2.0,태고암
1.0,20.0,5,1.0,7.0,1.0,1.0,7.0,7.0,5.0,더럭초등학교
1.0,30.0,20,5.0,2.0,3.0,4.0,2.0,5.0,5.0,평대시간 이공이오
0.0,30.0,4,3.0,1.0,7.0,5.0,2.0,7.0,4.0,자매국수 본점
1.0,20.0,28,2.0,5.0,5.0,5.0,4.0,5.0,5.0,상상 함덕점
1.0,50.0,9,1.0,4.0,1.0,1.0,1.0,6.0,5.0,별오름 노형점
1.0,20.0,23,4.0,4.0,4.0,4.0,2.0,5.0,5.0,릴로
1.0,50.0,5,4.0,4.0,4.0,4.0,4.0,4.0,3.0,가우도출렁다리
1.0,20.0,4,4.0,2.0,3.0,2.0,6.0,5.0,5.0,스캠프짐
1.0,20.0,5,4.0,4.0,4.0,4.0,2.0,5.0,5.0,초밥공장
1.0,20.0,10,4.0,2.0,5.0,4.0,4.0,7.0,4.0,애월브금
1.0,40.0,10,4.0,2.0,4.0,4.0,1.0,7.0,5.0,제주별책부록
0.0,20.0,17,2.0,1.0,6.0,2.0,7.0,5.0,5.0,에이바우트커피 함덕해수욕장점
0.0,30.0,18,5.0,1.0,4.0,2.0,2.0,5.0,5.0,산당
1.0,40.0,16,3.0,4.0,3.0,4.0,5.0,4.0,4.0,대평
1.0,30.0,20,4.0,1.0,3.0,6.0,2.0,6.0,4.0,제주동문재래시장
1.0,30.0,13,7.0,4.0,3.0,3.0,4.0,4.0,2.0,안녕협재씨 제주협재점
1.0,20.0,4,2.0,1.0,4.0,1.0,1.0,7.0,5.0,성산일출봉
